       z      mass      cnfw      a      b
       1.0000000      -5.3636351       14.864076       15.111086       56.735230
       1.0000000      -5.0606050       14.513759       14.738879       52.434163
       1.0000000      -4.7575750       14.160124       14.365293       48.345026
       1.0000000      -4.4545450       13.805335       13.989208       44.464045
       1.0000000      -4.1515150       13.448645       13.612430       40.787319
       1.0000000      -3.8484848       13.089593       13.234902       37.310809
       1.0000000      -3.5454547       12.728061       12.856895       34.030347
       1.0000000      -3.2424228       12.364285       12.476428       30.941600
       1.0000000      -2.9393928       11.998858       12.095949       28.040168
       1.0000000      -2.6363628       11.632709       11.716040       25.321468
       1.0000000      -2.3333328       11.263943       11.334049       22.780844
       1.0000000      -2.0303028       10.894935       10.952465       20.413599
       1.0000000      -1.7272729       10.522923       10.570946       18.214996
       1.0000000      -1.4242409       10.150118       10.188978       16.180146
       1.0000000      -1.1212109       9.7762938       9.8067141       14.303891
       1.0000000     -0.81818092       9.4019756       9.4249935       12.580663
       1.0000000     -0.51515090       9.0257683       9.0442562       11.004606
       1.0000000     -0.21212086       8.6508999       8.6641579       9.5696300
       1.0000000     0.090909153       8.2753763       8.2858047       8.2694360
       1.0000000      0.39393917       7.9017563       7.9103098       7.0975438
       1.0000000      0.69697106       7.5307593       7.5384998       6.0472979
       1.0000000       1.0000011       7.1614728       7.1699476       5.1119131
       1.0000000       1.3030311       6.7971621       6.8071747       4.2844482
       1.0000000       1.6060611       6.4374208       6.4492149       3.5578558
       1.0000000       1.9090911       6.0829463       6.0983109       2.9249976
       1.0000000       2.2121212       5.7354679       5.7547560       2.3786708
       1.0000000       2.5151532       5.3967724       5.4198647       1.9116423
       1.0000000       2.8181832       5.0675974       5.0949850       1.5166952
       1.0000000       3.1212132       4.7493124       4.7813826       1.1866571
       1.0000000       3.4242432       4.4433608       4.4801660      0.91446369
       1.0000000       3.7272732       4.1519408       4.1928635      0.69321436
       1.0000000       4.0303030       3.8769867       3.9211104      0.51623456
       1.0000000       4.3333349       3.6188493       3.6661012      0.37714036
       1.0000000       4.6363649       3.3803539       3.4288013      0.26990752
       1.0000000       4.9393950       3.1618519       3.2109408      0.18892331
       1.0000000       5.2424250       2.9645290       3.0132773      0.12907109
       1.0000000       5.5454550       2.7885692       2.8363678     0.085889366
       1.0000000       5.8484850       2.6340404       2.6796620     0.055612254
       1.0000000       6.1515150       2.4994898       2.5427222     0.034993550
       2.0000000      -23.848484       20.630033       21.383581       549.42013
       2.0000000      -23.545454       20.630033       21.383581       536.53817
       2.0000000      -23.242424       20.630033       21.383581       523.65621
       2.0000000      -22.939394       20.630033       21.383581       510.77425
       2.0000000      -22.636362       20.630033       21.383581       497.89221
       2.0000000      -22.333332       20.630033       21.383581       485.01025
       2.0000000      -22.030302       20.630033       21.383581       472.12828
       2.0000000      -21.727272       20.630033       21.383581       459.24632
       2.0000000      -21.424242       20.618834       21.371275       446.44117
       2.0000000      -21.121212       20.580044       21.326939       433.82830
       2.0000000      -20.818180       20.509264       21.248842       421.40810
       2.0000000      -20.515150       20.411835       21.141741       409.18089
       2.0000000      -20.212120       20.282757       20.998781       397.14695
       2.0000000      -19.909090       20.124640       20.823292       385.30651
       2.0000000      -19.606060       19.959208       20.639940       373.65970
       2.0000000      -19.303030       19.792389       20.455219       362.20670
       2.0000000      -19.000000       19.624063       20.269064       350.94774
       2.0000000      -18.696968       19.454178       20.081486       339.88276
       2.0000000      -18.393938       19.282686       19.892498       329.01197
       2.0000000      -18.090908       19.109539       19.702120       318.33533
       2.0000000      -17.787878       18.934687       19.510361       307.85289
       2.0000000      -17.484848       18.758158       19.317314       297.56453
       2.0000000      -17.181816       18.579950       19.123035       287.47010
       2.0000000      -16.878788       18.400076       18.926832       277.56975
       2.0000000      -16.575756       18.218588       18.728144       267.86299
       2.0000000      -16.272726       18.035557       18.528292       258.34980
       2.0000000      -15.969697       17.851063       18.327423       249.02991
       2.0000000      -15.666667       17.665192       18.125675       239.90299
       2.0000000      -15.363636       17.478086       17.923244       230.96868
       2.0000000      -15.060606       17.289869       17.717245       222.22662
       2.0000000      -14.757576       17.099821       17.510124       213.67640
       2.0000000      -14.454545       16.906578       17.302755       205.31754
       2.0000000      -14.151515       16.712538       17.094042       197.14954
       2.0000000      -13.848485       16.517910       16.882101       189.17178
       2.0000000      -13.545454       16.321358       16.670588       181.38367
       2.0000000      -13.242424       16.121777       16.456858       173.78458
       2.0000000      -12.939394       15.922213       16.241413       166.37376
       2.0000000      -12.636363       15.720571       16.025999       159.15042
       2.0000000      -12.333333       15.516563       15.807127       152.11376
       2.0000000      -12.030303       15.312987       15.589013       145.26292
       2.0000000      -11.727273       15.104948       15.367500       138.59695
       2.0000000      -11.424242       14.898302       15.145991       132.11485
       2.0000000      -11.121212       14.686966       14.922907       125.81561
       2.0000000      -10.818182       14.476425       14.697656       119.69811
       2.0000000      -10.515151       14.262846       14.472501       113.76117
       2.0000000      -10.212121       14.047989       14.245361       108.00361
       2.0000000      -9.9090910       13.832863       14.016150       102.42413
       2.0000000      -9.6060600       13.614345       13.786340       97.021368
       2.0000000      -9.3030300       13.394518       13.555649       91.793952
       2.0000000      -9.0000000       13.173681       13.323842       86.740401
       2.0000000      -8.6969690       12.951549       13.090754       81.859155
